symbol,cohort,asof,days_to_2x,peak_mult,rsi,rsi_z,r20,r20_z,r5,r60,dvol,off52,vs50,vs200,dlv10,vol_asym,adv_cr,close
OPTIEMUS,DOUBLER,2026-04-01,78.0,2.14,35.47533707799724,-0.803070197782604,-0.18504821027605334,-1.0107037306466213,-0.07008289374529009,-0.3850294029701983,0.04093982882869194,-0.5493718959976629,-0.18855507567348606,-0.42042299727730326,0.9803858662763906,0.8173555655511957,10.50901,308.5
NRBBEARING,DOUBLER,2026-04-02,92.0,2.13,42.542804169840146,-0.672725548878761,-0.11005692599620498,-0.7272401711483167,-0.001702852277564948,-0.13643896151721602,0.03383954540541853,-0.23628073603647615,-0.09433303517772706,-0.1495019599536923,1.0325084774852227,0.9796993689513114,5.132410000000002,234.5
EMIL,DOUBLER,2026-04-01,93.0,2.12,50.11257108586582,0.453291071496846,-0.0029013539651837617,-0.02151784826056533,0.012659609298264929,-0.0691211878009631,0.03014996952473631,-0.4320949874533324,-0.01995162602055367,-0.23676177738515025,1.001087439928823,0.6220744403227525,5.082825,92.79
NEOGEN,DOUBLER,2026-04-01,76.0,2.1,40.36779822105668,-0.5275441183286561,-0.1328004693114322,-0.7474330701061941,-0.015648410188114026,0.042305658381808664,0.039729427115400014,-0.3173631955668438,-0.09200494460354891,-0.13869513697048796,1.089571507106091,1.2214718291669573,13.477955,1182.6
THANGAMAYL,DOUBLER,2026-04-02,70.0,2.09,51.24609282388646,-0.3116749862208883,-0.024982116326418224,-0.15678983323768336,-0.01525550893378158,-0.08719058290188808,0.03562840088170493,-0.1049201858961405,-0.0011837655016910809,0.2738384150456572,0.9230074782921033,1.3151933277392795,34.781425,3543.8
VENUSREM,DOUBLER,2026-04-01,49.0,2.09,61.19701628683276,,0.1969833877806353,1.01554704323388,-0.01980761568672107,0.8967948011895583,0.04337251025940531,-0.07164420485175205,0.3190225400356008,1.0513486357596489,1.2458152767527024,1.0890144762576022,5.914145,861.05
NIBE,DOUBLER,2026-04-01,57.0,2.07,42.022247718515644,-0.1895017235463971,-0.09412658227848103,-0.4530894167267469,-0.02149420258149215,-0.2767806613307463,0.04645295800218277,-0.5321635897704096,-0.10615524351286842,-0.2759489890259186,1.1338293371944141,1.0846974614240967,8.171845,894.55
GREAVESCOT,DOUBLER,2026-04-01,72.0,2.07,41.88853955326359,-0.23563851353786,-0.10816866979018136,-0.6398028436552401,-0.029053005100909357,-0.30004263483265825,0.037804223767549744,-0.435703544575725,-0.1370134119706371,-0.3111675144208239,0.9936391605272028,0.9812752480505478,18.44044,131.34
SENORES,DOUBLER,2026-04-07,94.0,2.07,51.563195878376575,-0.3607507694545244,0.016585494274055534,0.1454374551797122,0.016719325961032094,-0.050003075219878346,0.025499822306018355,-0.1074771755460534,-0.00554591962215123,0.03965405891485174,1.004954837869386,1.259948413138737,13.28486,772.3
MARKSANS,DOUBLER,2026-04-06,94.0,2.06,48.51592321363559,0.29661719999167163,-0.012882925670861911,-0.092463601978556,0.0597871119892921,-0.038790611631402405,0.03115506743486502,-0.369114020110036,-0.03097251265266543,-0.11721426866747764,0.8403222892949866,1.2135680786893925,12.306915,166.27
AYE,DOUBLER,2026-04-07,60.0,2.05,40.12873040499484,,-0.20171940086856333,-0.9888632417904729,-0.053190371071165754,,0.04561381934937076,,,,1.1896515171287663,0.8524367607418246,9.260825,90.07
ATHERENERG,DOUBLER,2026-04-07,90.0,2.05,54.42908507146689,-0.505717687849172,0.09378368666906223,0.8672752808785976,0.009283819628647105,0.1647662049437515,0.024179946459458587,-0.044390029509637774,0.06092438439200398,0.2667630749383576,0.9869865166841351,1.4708205667951098,220.628045,761.0
BLUESTONE,DOUBLER,2026-04-07,76.0,2.04,31.31813382521449,-1.0303370345186345,-0.15857540787902913,-1.3954047950303656,-0.09472332227335978,-0.11108775617446143,0.025410934005680313,-0.4444663382594417,-0.07998616389690805,,0.9466609053578807,,24.195405,422.9
EPACKPEB,DOUBLER,2026-04-01,56.0,2.03,33.9696287082229,-0.6683502886063519,-0.17334842437600517,-1.129120157269887,-0.052376399890740166,-0.48441389559725057,0.03432928357549274,-0.5795485532495077,-0.20471634099599278,,1.0981850357483034,0.9667546001715234,7.12506,138.77
KIRLPNU,DOUBLER,2026-04-01,58.0,2.02,49.5629733895924,0.23583836630635804,-0.04762740110516617,-0.4723293358847287,-0.011741148630199372,0.026373003119387395,0.022547425783604275,-0.28149814716781374,-0.027273606845815035,-0.08094311251167552,0.9923039934058402,1.0565983859320591,7.60105,542.9
NELCO,DOUBLER,2026-04-01,98.0,2.02,44.09760013220147,0.07107495642450869,-0.055895865237366005,-0.32378560329818856,-0.017703815172169568,-0.2284105131414268,0.03860176396317774,-0.5067561561027647,-0.09162943523367795,-0.29326776566702817,1.1478909899432443,1.2638998186294204,6.54961,554.85
SHREEJISPG,DOUBLER,2026-04-02,87.0,2.02,38.67090866094288,-0.9111486321418624,-0.12257217847769031,-0.9616498736857109,-0.06724330357142849,-0.1395109395109395,0.028500988844920052,-0.19841745594053473,-0.09244911145257018,,1.0980939034630808,0.7875286894481649,17.392825,334.3
LUXIND,DOUBLER,2026-04-01,17.0,2.01,50.982417385315955,1.0442799013795607,0.04690204222914507,0.28209790993224204,-0.015515651277599907,-0.14336291540785495,0.03717721791456188,-0.40587349397590367,-0.012151188173032179,-0.22972227003355605,0.9029629745381591,1.1739970999180713,6.748365,907.35
BLSE,DOUBLER,2026-04-07,86.0,2.01,53.03437516795905,0.49134771130283433,0.15991140642303447,1.4605563878249515,-0.018369259606373034,-0.10315104463979907,0.02448195619971893,-0.3021365433305201,0.01249719663751181,-0.1252158981194731,1.443720686461393,1.662797836743928,13.846835,157.11
HIRECT,DOUBLER,2026-04-07,72.0,1.99,44.36084251101649,-0.5389406976388063,-0.05877448937057117,-0.31043426986495554,0.026208150280260467,-0.0272133266317226,0.04233545272968981,-0.334381448363958,-0.02443660998202679,-0.10691331363638168,0.9581318028982796,1.1539496496979065,7.33942,677.4
IRMENERGY,DOUBLER,2026-04-06,17.0,1.98,29.962535658814986,-1.0726280357544369,-0.11788716652898579,-1.1110620129246136,0.0063196407783137065,-0.3404904632152589,0.023725383008980246,-0.5181685467816854,-0.1742863874836137,-0.3487918587682255,0.8199949269701456,0.6234621031767034,8.444505,181.53
VADILALIND,DOUBLER,2026-05-18,63.0,1.92,30.122789648470416,-1.3311506949353038,-0.09506547148255573,-1.0399636115934185,-0.0842819030680303,-0.1441958071017474,0.020440412931598727,-0.3045922674320446,-0.08657298434651028,-0.16712012101822094,1.0690571198311862,,6.027915,4118.9
CARTRADE,DOUBLER,2026-04-30,85.0,1.85,36.701770150528894,-1.1283035477002972,-0.04258079735786735,-0.35385911663816844,-0.03997634535777639,-0.29478714161598607,0.026907193555703566,-0.5032435740514076,-0.07310979258305128,-0.3143037198621934,1.0291276786758645,1.0948048661096266,65.50918,1623.4
TORNTPOWER,CONTROL,2026-04-01,,,38.29104987736772,-1.056472053662415,-0.09404431194525387,-0.8517602527919582,-0.03937064444284799,-0.042740549828178764,0.02468881046250771,-0.14638661899897865,-0.06715949333177063,-0.0070533299470222355,1.1343446405456863,0.9546678403621532,77.79993,1337.1
KPIL,CONTROL,2026-04-01,,,49.698307397410034,-0.068925119694666,-0.023162583518930968,-0.18607989727025123,-0.012162162162162149,-0.06577489988923924,0.02783380259911942,-0.16584252567516167,-0.018361518697236345,-0.07914754172704552,0.9586138943444216,0.7908874038500874,22.82859,1096.5
LUMAXTECH,CONTROL,2026-04-01,,,52.354466096617095,-0.3913933302722865,0.038990676142661496,0.2179968641845104,-0.01835766648185788,-0.04563694076780267,0.03999406260719291,-0.10688263647573149,0.025982103421056335,0.1893737090938199,0.8898368881608489,1.493160351535584,38.04237,1593.5
NPST,CONTROL,2026-04-01,,,52.79772037261454,1.1898174335270342,0.06955606582472251,0.22164253799815642,-0.026897632311977615,-0.2063751242368308,0.0701724916328215,-0.5258313539192399,-0.022754888848093846,-0.32745900246269477,0.967230852024821,1.8879235384895436,8.10157,1117.9
TTKPRESTIG,CONTROL,2026-04-01,,,38.83523270067206,-0.6051626834349981,-0.09068627450980393,-0.42442856337589435,0.011243611584327073,-0.27111984282907664,0.04777733921044698,-0.37834252600712137,-0.14884179775624606,-0.27211073988177514,0.9517819857595239,3.787415357900757,45.68603,445.2
IMFA,CONTROL,2026-04-01,,,49.62584444957966,-0.6213069298492914,0.05246069719753921,0.38990501805010486,-0.010284428732122763,-0.030460448642266824,0.030085707967383992,-0.17665931421696413,-0.018241985258486637,0.09902831282692648,0.963133985655935,1.1277339895538847,12.383025,1231.8
SUPRIYA,CONTROL,2026-04-01,,,49.35496993598371,0.1455739197475904,-0.03111397710785102,-0.20626562821262193,0.014174822814714716,-0.20790774299835257,0.03372979224236539,-0.25123029963246746,-0.06184340745967165,-0.13947086765248085,0.9305154145246061,0.8757477659667968,11.477895,601.0
POWERGRID,CONTROL,2026-04-01,,,45.421053902196014,-0.27311467029409814,0.002911457441342691,0.06093548438248645,-0.007457627118644061,0.10867095797046566,0.010683786004843794,-0.047030105777054465,0.0069433697524941,0.03353244481782136,0.9575598682873918,1.002358564768584,565.94668,292.8
CCL,CONTROL,2026-04-01,,,59.13327976437052,0.5405406838292177,0.0725398870280447,0.7816415572618763,0.004361544172234666,0.16263830701471682,0.02075172653857749,-0.004873115115851423,0.06454969833004487,0.15511652423377997,0.8921144786644231,1.5171233066173955,29.946725,1082.3
MIDHANI,CONTROL,2026-04-01,,,39.337157132084485,-0.6919400273988565,-0.14188186405461545,-0.8264101042224881,-0.051042179550303435,-0.20105015890562383,0.03838983710139769,-0.37640207075064713,-0.14501351535190188,-0.21192229897339998,1.1677571872456571,1.0896483275638718,21.21355,289.1
SUNTECK,CONTROL,2026-04-01,,,37.04261704827961,-0.8445437085209032,-0.21421914525362795,-1.220741143435256,-0.02751688910858452,-0.29696247766527695,0.03923916003363726,-0.36345987920621226,-0.19370483203322442,-0.27687076913652087,0.9607939663618337,1.149266300975353,7.416965,295.1
INTELLECT,CONTROL,2026-04-01,,,41.74139688569957,-0.24425544543300948,-0.050824688409582874,-0.39930859494141463,-0.032262973672196105,-0.3585838208593908,0.028461059856662238,-0.4821239514618455,-0.11677856823402943,-0.3344762048293648,1.024464195255454,1.8453420554219713,32.43445,635.9
SANDUMA,CONTROL,2026-04-01,,,44.46248194048885,-0.5876050840708217,-0.07923801803627517,-0.5087704851827548,0.007651363938788958,-0.30965585352883074,0.034825446815732734,-0.313437346530165,-0.09657689436004291,-0.05119528998041878,1.0198289010571249,1.0304909988293018,27.33518,181.74
MANAPPURAM,CONTROL,2026-04-01,,,41.18513957505949,-0.9443752991559209,-0.05143918291550598,-0.5184113079253319,-0.02649132837812085,-0.2016255079712409,0.022187307249610388,-0.2016255079712409,-0.0915202629397891,-0.09080553063636498,0.8535270122926196,1.094440696365485,139.215875,255.4
ASIANPAINT,CONTROL,2026-04-01,,,45.71818079437447,-0.2760846818779439,-0.02599334850341306,-0.26588662645573613,-0.01955774821601608,-0.20773118815405422,0.02186002921292099,-0.2501937005221492,-0.054221034722469974,-0.11731557336417042,0.9675042641652883,0.9641915556815146,258.73123,2225.8
GVT&D,CONTROL,2026-04-01,,,55.78139049513044,-0.1717294517663466,0.03152663878781303,0.21607146120621676,0.009379816123717744,0.2057451198222504,0.032626107602591256,-0.018170069785474308,0.0655354661433658,0.26300383253354487,0.9368482509782682,1.167632489405837,250.82173,3798.7
TATACONSUM,CONTROL,2026-04-01,,,34.61545583081849,-1.6979527721346812,-0.07815595173779932,-1.0742705915642856,-0.030584224978695174,-0.15569849909285827,0.016267970314391145,-0.15569849909285827,-0.08239777581394847,-0.09124638957285558,1.0288355730834902,1.2408307517830381,159.95468,1023.8
BERGEPAINT,CONTROL,2026-04-01,,,43.04953309156462,-0.12692362773298457,-0.04774928774928777,-0.5725307604470269,-0.017980961335057,-0.20592986790839107,0.01864889376445727,-0.30384070649004413,-0.06817821927920953,-0.2015475987423132,0.9460721926088762,1.0099885261581085,18.316365,417.8
BSLGOLDETF,CONTROL,2026-04-01,,,47.807027713850374,-1.1129163691406159,-0.08367260985539815,-0.7077649149945288,0.035949527815252624,0.0856620093147038,0.02643499833457207,-0.15073840348708611,-0.03823200902974455,0.17771613829278055,0.995431205037905,1.3597532932425118,10.07351,130.54
FABTECH,CONTROL,2026-04-01,,,47.107557821440444,0.5891819495200606,0.0014068655036578726,0.005197169027343467,0.02380438691118303,-0.27215092796155216,0.06053000941142146,-0.4426216671234485,-0.06179771578454818,,0.7717837939201829,3.981919988554498,13.12559,142.36
OSWALPUMPS,CONTROL,2026-04-01,,,47.72734198108525,0.5445422641175054,0.03873888982056006,0.2178153672239543,-0.012908366533864624,-0.39700155763239875,0.039768907086607325,-0.6455710688944838,-0.07938074458092059,-0.4770279415173029,1.0782141145866315,1.0704809495274665,32.935555,309.7
GICRE,CONTROL,2026-04-01,,,57.87041541939449,1.2816639857413739,0.04710743801652906,0.5318543507733713,0.03484889735910701,0.021499596882558425,0.019805315778210368,-0.07179487179487176,0.01475817733306295,0.008011583779526266,1.0770196899773914,0.9496628578501413,13.320805,380.1
RHIM,CONTROL,2026-04-01,,,44.43188372919686,-0.28378780680788374,-0.08871371371371384,-0.6102060494149705,0.034076387902882255,-0.24222245343876814,0.0325086738472201,-0.30875094912680334,-0.11228828020633252,-0.19945171840881826,0.9696068048984289,1.126563458633577,9.668575,364.15
ARVINDFASN,CONTROL,2026-04-01,,,49.30964933561067,0.05004132188297796,-0.044705062703204845,-0.33678063035540595,0.028503562945368266,-0.1646019496344434,0.029682098711337587,-0.27406688432012705,-0.06037708265757835,-0.16119066675503024,0.8378898306976584,1.3781506771903647,10.42573,411.35
GPPL,CONTROL,2026-04-01,,,38.93413087122159,-1.2734189916443093,-0.09712562319197393,-0.8512931551765434,-0.02069564056345552,-0.22419081870107893,0.025511716439120737,-0.24234285419141577,-0.10844307868845304,-0.11896231069837071,1.050868718260974,0.9860863625907764,16.417965,146.69
GRAVITA,CONTROL,2026-04-01,,,32.0825424136427,-1.2117756754638414,-0.1406687960367642,-1.0296167593752807,-0.06998236331569663,-0.26124964976183807,0.03054971545355455,-0.3054267650158061,-0.1418122259371517,-0.2156690091090797,1.0534920670315044,1.2742654838729839,52.570915,1318.3
BAJAJHCARE,CONTROL,2026-04-01,,,48.9644014226024,0.8451794950943564,-0.029727626459143952,-0.17226225570429662,-0.007008601465434805,-0.23873488826474543,0.03858825213950177,-0.42063197026022303,-0.061540314325284506,-0.2604758506929925,1.0096733676709437,0.9208305784663436,10.295275,311.7
ELGIEQUIP,CONTROL,2026-04-01,,,46.7649897629639,-0.29411923468777723,-0.037081700331624945,-0.34356477874342517,-0.016928285626346518,0.014934858595487821,0.024134372261922866,-0.19282284559009344,-0.02099216752865407,-0.03347971008426032,1.0609734942071565,0.8426759196215056,22.65393,479.1
SILVERIETF,CONTROL,2026-04-01,,,47.02134482070867,-1.1784839466123747,-0.11805241753276097,-0.5533542069865048,0.01711034872106665,-0.04177235905408716,0.04770420594595376,-0.36226004084411156,-0.09233595312282006,0.3023641181197154,1.0736422941850983,0.7373796570230589,230.69491,234.21
BHARTIARTL,CONTROL,2026-04-01,,,36.27617087073855,-1.1315334153037855,-0.06506112597722857,-0.9882710085519255,-0.02888440786963864,-0.14504366183667583,0.014720769821117006,-0.17607620104499,-0.06998082445450948,-0.0991330311906039,0.9666211618480564,0.9477388591201987,2002.545215,1781.9
CEWATER,CONTROL,2026-04-01,,,47.15161680809067,0.49415875476560467,0.0023520897412701025,0.011453384302038277,0.0030780372985697024,-0.3953945214449416,0.04592033596326509,-0.5646365422396857,-0.14891525100855074,-0.3935629000610269,0.869966760311819,1.5730352927816529,6.301685,277.0
POLYMED,CONTROL,2026-04-01,,,49.37983311104314,0.9616369589173158,-0.0823798627002289,-0.5498912919224966,-0.014893290342392063,-0.28742780986228333,0.03349879797710525,-0.4359808360072084,-0.04985450156605176,-0.28752375360381555,1.0986769157230591,1.5885282897413209,26.78208,1283.2
MUFIN,CONTROL,2026-04-01,,,46.2102266979956,-0.661245149087969,-0.0390455531453362,-0.28153566360541393,-0.012119449292224194,-0.16504138326640994,0.031011527965572282,-0.168652088772846,-0.07132453602684763,0.007597277539203917,0.9874042071700788,1.001282293617577,10.78658,101.89
VAIBHAVGBL,CONTROL,2026-04-01,,,35.95206025502564,-1.0865392083311343,-0.13996009095549677,-0.9581725728029319,-0.05313441986409839,-0.21563399356695445,0.03266220369865576,-0.34104888888888885,-0.16189116930947034,-0.19867225098382413,1.0728487461432394,0.7998521498843991,10.0681,185.33
FSL,CONTROL,2026-04-01,,,43.52821352428927,-0.04809198028008859,-0.008581314878892798,-0.05829254878361194,-0.04220894990194346,-0.3626279104256266,0.03291742050388642,-0.4473704513308474,-0.1388803400719384,-0.3370478685127972,1.1543754923752267,1.098033776275977,32.80823,214.89
